gene_id,gene_name,abundance
b0723,sdhA,796
b0754,aroG,791
b3619,hldD,790
b2080,yegP,772
b0893,serS,769
b1219,ychN,769
b1452,yncE,768
b0473,htpG,766
b1809,yoaB,759
b1051,msyB,757
b3559,glyS,756
b0161,degP,753
b0578,nfsB,752
b0194,proS,748
b1333,uspE,747
b3181,greA,742
b3168,infB,741
b0733,cydA,738
b2465,tktB,738
b0740,tolB,733
b1539,ydfG,732
b4051,qorA,731
b1604,ydgH,729
b3347,fkpA,729
b0185,accA,724
b1091,fabH,724
b3363,ppiA,723
b2507,guaA,721
b1131,purB,719
b0767,pgl,718
b1064,grxB,718
b0145,dksA,711
b3858,yihD,705
b1836,yebV,705
b3233,yhcB,700
b3299,rpmJ,700
b1444,patD,697
b0726,sucA,692
b2699,recA,692
b1635,gstA,691
b2294,yfbU,686
b2922,yggE,686
b0072,leuC,684
b1719,thrS,683
b2217,rcsB,680
b3180,yhbY,676
b4006,purH,675
b3426,glpD,674
b3029,ygiN,672
b0126,can,668
b0453,ybaY,663
b1866,aspS,660
b0523,purE,660
b1973,zinT,656
b0880,cspD,650
b0782,moaB,648
b0854,potF,642
b2400,gltX,642
b0838,gstB,640
b0180,fabZ,637
b3737,atpE,636
b3384,trpS,631
b2042,wcaN,629
b3192,mlaC,628
b2463,maeB,628
b3031,yqiA,625
b1611,fumC,623
b1062,pyrC,620
b0741,pal,619
b4381,deoC,614
b1431,ydcL,613
b3255,accB,609
b4391,ettA,608
b1740,nadE,603
b3506,slp,602
b1852,zwf,599
b1308,pspE,597
b3067,rpoD,596
b1426,ydcH,595
b3386,rpe,591
b0763,modA,591
b1714,pheS,588
b2425,cysP,588
b2499,purM,586
b0053,surA,586
b1516,lsrB,585
b3871,typA,585
b0391,yaiE,584
b2531,iscR,582
b3167,rbfA,580
b1732,katE,579
b2523,pepB,579
b0642,leuS,578
b0734,cydB,573
b1702,ppsA,573
b0683,fur,572
b4037,malM,571
b3172,argG,571
b0819,ldtB,571
b0595,entB,568
b2155,cirA,567
b0033,carB,563
b2697,alaS,563
b1602,pntB,563
b0032,carA,557
b1130,phoP,553
b2898,ygfZ,553
b1236,galU,552
b1002,agp,552
b0756,galM,550
b4059,ssb,546
b1713,pheT,544
b4144,yjeI,544
b0492,ybbN,539
b1886,tar,538
b4227,ytfQ,537
b3938,metJ,536
b1101,ptsG,535
b2019,hisG,534
b1882,cheY,533
b2521,sseA,531
b1710,btuE,528
b0888,trxB,527
b3612,gpmM,526
b1619,hdhA,523
b0382,iraP,523
b1831,proQ,521
b2330,prmB,520
b0688,pgm,519
b0220,ivy,518
b3012,dkgA,517
b0680,glnS,515
b3176,glmM,512
b0026,ileS,511
b3728,pstS,510
b1717,rpmI,508
b0133,panC,508
b2904,gcvH,504
b0606,ahpF,503
b0438,clpX,499
b0002,thrA,498
b3405,ompR,497
b1881,cheZ,496
b2316,accD,496
b3458,livK,495
b1783,yeaG,492
b1541,ydfZ,485
b1048,opgG,484
b2478,dapA,482
b3209,elbB,477
b2239,glpQ,475
b0463,acrA,473
b0439,lon,471
b3178,ftsH,471
b2000,flu,470
b1108,ycfP,469
